student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,math_score,science_score,english_score,overall_score
3312,16,other,private,no formal,6.7,61.1,yes,15-30 min,yes,55.6,81.6,62.6,68.9
3313,19,other,public,diploma,6.7,85.8,yes,>60 min,yes,99.0,92.4,95.6,91.6
3314,15,female,public,post graduate,3.0,90.1,yes,<15 min,no,57.6,55.5,70.3,58.8
3315,16,male,private,phd,6.7,98.5,no,15-30 min,yes,91.7,87.7,70.7,83.2
3316,19,male,public,high school,1.7,91.2,yes,>60 min,no,49.8,48.4,42.7,48.5
3317,17,male,private,phd,7.8,90.9,yes,30-60 min,yes,100.0,88.3,100.0,97.9
3318,16,male,private,graduate,7.0,85.3,yes,>60 min,yes,93.2,98.7,98.0,94.8
3319,15,male,public,high school,4.3,78.8,yes,<15 min,no,60.6,59.9,83.8,69.0
3320,14,female,public,post graduate,3.4,52.1,yes,15-30 min,yes,54.8,60.2,58.2,52.4
3321,14,male,public,phd,7.6,98.6,no,15-30 min,no,96.7,99.5,100.0,100.0
3322,14,male,public,high school,1.0,72.4,yes,30-60 min,yes,41.4,37.8,38.9,38.1
3323,18,other,private,no formal,4.2,89.8,yes,15-30 min,no,70.2,81.9,81.0,73.4
3324,17,other,private,high school,4.2,68.9,yes,15-30 min,no,73.8,50.8,92.3,61.8
3325,16,male,public,post graduate,3.4,72.8,yes,30-60 min,no,69.5,54.7,65.0,56.9
3326,18,other,public,no formal,1.3,73.1,yes,15-30 min,yes,41.6,56.3,61.1,47.6
3327,14,other,private,high school,2.4,99.5,yes,30-60 min,yes,56.6,46.6,60.1,49.5
3328,15,female,private,high school,7.9,60.6,yes,>60 min,no,100.0,58.4,96.6,95.9
3329,16,female,public,no formal,6.6,75.1,yes,30-60 min,yes,100.0,92.5,72.4,90.8
3330,19,female,private,graduate,6.8,57.7,no,>60 min,no,68.1,88.9,77.9,81.9
3331,17,male,public,post graduate,4.3,74.7,yes,15-30 min,no,75.2,76.0,71.9,71.0
3332,19,female,public,no formal,5.5,77.3,yes,<15 min,yes,55.3,70.7,71.4,65.7
3333,15,other,public,phd,4.3,56.8,yes,30-60 min,yes,53.1,54.1,65.9,58.2
3334,19,female,private,phd,5.6,84.9,yes,30-60 min,yes,77.5,68.6,83.6,76.5
3335,14,female,private,phd,7.0,91.4,yes,<15 min,no,88.6,100.0,70.2,94.8
3336,15,male,private,post graduate,2.3,90.8,yes,<15 min,yes,51.1,51.2,50.4,51.0
3337,17,other,public,diploma,7.6,86.5,yes,<15 min,no,100.0,96.2,97.0,99.6
3338,14,male,public,high school,7.4,57.0,yes,30-60 min,no,85.6,78.2,71.6,82.6
3339,19,other,private,phd,3.6,81.1,yes,15-30 min,no,48.3,54.1,55.8,52.9
3340,19,male,private,graduate,7.8,84.9,yes,>60 min,no,100.0,100.0,100.0,100.0
3341,17,male,public,diploma,7.1,88.0,yes,>60 min,yes,90.9,82.6,80.5,88.7
3342,15,male,private,diploma,0.8,85.5,yes,<15 min,yes,51.5,45.9,54.7,45.8
3343,14,female,public,high school,0.8,81.4,yes,15-30 min,no,32.8,27.2,26.5,42.3
3344,17,other,private,diploma,5.8,86.4,yes,15-30 min,no,87.0,95.7,81.1,89.8
3345,17,female,private,post graduate,6.4,92.6,yes,<15 min,no,93.2,95.8,100.0,93.0
3346,18,male,public,graduate,2.4,78.5,yes,>60 min,yes,60.5,46.5,51.8,44.7
3347,17,male,public,diploma,4.2,57.3,yes,30-60 min,yes,44.0,48.8,60.3,51.9
3348,14,male,public,no formal,4.5,90.8,yes,15-30 min,yes,83.2,95.5,85.1,80.5
3349,14,female,private,diploma,3.8,83.1,yes,<15 min,yes,53.6,53.5,57.9,58.6
3350,18,other,private,high school,1.0,84.3,yes,<15 min,no,32.7,27.9,35.5,42.9
3351,14,other,public,diploma,2.1,64.7,no,30-60 min,no,50.5,41.9,44.0,46.4
3352,19,other,private,no formal,6.6,57.5,yes,15-30 min,no,62.1,55.5,86.0,67.9
3353,14,male,public,phd,1.0,89.0,yes,<15 min,no,46.9,7.2,56.0,37.0
3354,18,female,private,high school,5.2,52.5,yes,15-30 min,yes,56.9,83.1,61.9,64.9
3355,19,male,private,no formal,5.3,70.1,yes,15-30 min,yes,70.5,65.2,89.4,71.4
3356,16,female,public,graduate,7.7,75.4,yes,>60 min,no,85.0,93.5,100.0,82.4
3357,14,female,public,diploma,7.9,50.9,yes,30-60 min,no,87.8,91.4,74.6,87.8
3358,19,other,private,phd,7.6,79.9,no,15-30 min,yes,69.9,95.7,83.3,84.0
3359,15,female,private,diploma,4.6,56.0,yes,<15 min,no,50.9,55.2,54.4,64.1
3360,17,male,public,graduate,0.8,62.1,yes,<15 min,yes,29.8,45.9,43.1,24.9
3361,19,female,public,phd,2.6,99.7,yes,30-60 min,no,73.7,50.7,51.3,61.2
3362,18,female,public,phd,4.1,78.0,yes,>60 min,yes,54.2,68.5,63.9,66.7
3363,14,female,public,post graduate,0.8,98.4,yes,<15 min,yes,17.5,36.7,44.4,41.1
3364,18,male,private,graduate,0.8,74.6,yes,15-30 min,yes,37.9,45.2,33.3,33.8
3365,14,female,private,post graduate,2.9,90.2,yes,<15 min,yes,66.0,65.6,49.5,60.3
3366,18,female,public,high school,3.4,51.9,yes,<15 min,no,62.5,34.5,46.5,54.2
3367,17,other,private,phd,4.9,64.6,yes,30-60 min,no,71.5,64.9,60.9,67.5
3368,15,other,private,phd,7.5,64.2,yes,>60 min,yes,88.9,95.4,70.2,82.0
3369,16,male,public,diploma,3.4,53.5,yes,>60 min,yes,65.7,38.5,52.7,46.2
3370,14,other,public,no formal,0.9,97.6,yes,>60 min,yes,41.7,44.6,53.7,48.1
3371,19,male,private,post graduate,4.6,75.2,yes,30-60 min,no,79.1,67.1,63.5,67.5
3372,15,other,private,no formal,3.2,79.6,yes,>60 min,no,85.2,62.6,64.0,66.8
3373,15,female,private,no formal,7.3,76.0,yes,15-30 min,yes,90.8,100.0,85.1,89.8
3374,17,other,private,phd,3.7,62.4,yes,30-60 min,yes,48.5,44.1,36.8,50.6
3375,18,other,public,graduate,2.9,96.2,yes,15-30 min,yes,65.1,71.5,71.1,70.9
3376,17,female,public,graduate,5.9,83.4,yes,15-30 min,yes,77.2,98.4,95.3,90.4
3377,17,female,public,phd,4.2,56.2,yes,15-30 min,yes,20.9,54.4,37.4,51.5
3378,17,other,private,phd,4.7,73.1,yes,>60 min,no,81.3,78.5,62.0,69.9
3379,19,female,private,phd,1.6,50.1,yes,30-60 min,no,18.3,19.1,37.5,22.9
3380,16,female,private,no formal,3.3,83.7,yes,<15 min,yes,67.4,64.3,75.9,69.1
3381,18,female,private,high school,0.8,76.2,no,30-60 min,no,34.9,46.3,44.7,44.8
3382,18,female,public,post graduate,6.2,95.2,yes,30-60 min,no,81.7,82.1,84.1,83.2
3383,19,male,private,no formal,2.3,97.4,yes,>60 min,no,58.9,48.7,46.2,48.0
3384,19,male,private,high school,1.4,54.9,yes,>60 min,no,20.2,27.1,36.8,26.7
3385,18,other,private,graduate,4.9,54.5,yes,30-60 min,yes,87.8,72.2,62.6,68.9
3386,15,female,private,diploma,4.8,95.0,yes,>60 min,no,75.3,79.2,72.0,77.4
3387,18,female,public,high school,2.9,75.6,yes,>60 min,yes,54.2,58.8,50.1,53.1
3388,18,male,public,phd,7.7,73.5,yes,30-60 min,yes,100.0,92.7,99.3,96.1
3389,15,other,private,diploma,5.3,78.5,yes,<15 min,no,83.3,81.6,89.6,74.5
3390,18,female,private,diploma,7.4,73.3,yes,>60 min,no,100.0,90.7,76.4,94.3
3391,15,male,private,graduate,2.8,80.7,yes,15-30 min,yes,86.7,83.6,60.4,61.1
3392,17,male,public,post graduate,4.6,97.5,yes,<15 min,no,79.7,83.1,60.8,71.0
3393,18,female,private,diploma,3.6,80.3,yes,15-30 min,yes,63.1,79.5,70.8,61.5
3394,15,female,public,phd,3.6,66.0,yes,<15 min,yes,63.3,54.2,44.0,54.4
3395,16,male,private,high school,0.9,60.7,yes,15-30 min,yes,26.8,26.2,50.0,35.0
3396,18,male,public,phd,2.1,98.3,yes,>60 min,yes,56.3,27.6,59.5,54.3
3397,16,male,private,phd,7.0,79.0,yes,>60 min,no,100.0,75.0,100.0,85.4
3398,19,male,private,no formal,6.9,78.3,yes,>60 min,yes,90.4,95.3,93.9,94.3
3399,14,other,public,post graduate,1.3,51.7,yes,<15 min,no,44.7,51.6,32.1,37.2
3400,18,female,private,no formal,0.6,95.9,yes,<15 min,no,46.8,46.6,57.0,52.4
3401,18,female,private,diploma,1.3,73.5,yes,15-30 min,yes,23.5,27.9,31.3,32.1
3402,19,male,public,phd,5.3,100.0,no,15-30 min,yes,76.2,88.1,80.9,81.2
3403,14,female,public,high school,2.3,58.4,yes,<15 min,yes,65.1,27.9,61.7,48.1
3404,19,other,public,graduate,6.2,66.3,no,>60 min,no,85.4,88.9,71.5,81.2
3405,16,other,private,post graduate,0.5,60.5,yes,>60 min,no,24.5,38.8,32.3,27.1
3406,16,female,public,diploma,5.9,68.9,yes,>60 min,yes,70.3,89.7,84.3,72.9
3407,16,male,private,no formal,7.1,98.8,yes,30-60 min,no,97.0,100.0,95.8,99.4
3408,17,female,private,no formal,0.8,70.7,yes,15-30 min,no,40.7,39.6,57.5,39.3
3409,17,male,private,graduate,7.0,91.4,yes,15-30 min,yes,89.8,100.0,82.1,98.4
3410,16,male,public,no formal,7.4,87.8,yes,>60 min,no,92.7,96.6,84.1,87.6
3411,14,other,private,no formal,4.5,64.9,yes,<15 min,no,71.7,71.2,53.1,60.9
3412,19,other,public,phd,2.6,79.0,yes,15-30 min,yes,54.1,55.8,36.1,55.0
3413,15,other,public,graduate,4.7,92.6,yes,<15 min,no,67.0,75.1,88.6,80.1
3414,14,female,public,diploma,2.8,80.6,yes,15-30 min,yes,48.5,37.6,59.9,45.9
3415,17,other,private,no formal,7.5,63.2,yes,>60 min,yes,76.1,92.5,94.6,88.4
3416,16,female,public,post graduate,4.6,93.2,yes,30-60 min,no,51.8,70.5,75.9,66.3
3417,17,male,public,graduate,6.5,77.8,yes,<15 min,no,87.9,74.1,81.8,80.8
3418,19,male,private,high school,5.1,99.0,yes,15-30 min,yes,51.4,74.3,60.3,75.0
3419,14,male,private,post graduate,2.7,82.8,no,<15 min,yes,48.2,70.4,41.2,46.6
3420,15,other,private,high school,4.3,72.4,no,30-60 min,yes,65.3,70.9,56.5,56.6
3421,17,male,public,graduate,7.1,71.8,yes,15-30 min,no,100.0,100.0,83.3,87.5
3422,18,other,public,graduate,3.4,94.0,yes,15-30 min,no,48.1,73.1,72.9,65.0
3423,17,other,private,high school,3.1,99.0,yes,30-60 min,no,68.5,87.7,50.1,72.2
3424,16,female,public,phd,7.7,70.5,yes,30-60 min,no,76.3,77.8,100.0,84.4
3425,17,other,private,post graduate,3.0,58.2,yes,30-60 min,no,43.8,50.3,32.3,38.8
3426,19,male,public,high school,6.9,52.0,no,>60 min,yes,64.3,78.9,84.4,74.2
3427,16,female,private,no formal,1.8,66.1,yes,<15 min,no,68.3,57.1,46.0,46.1
3428,19,male,private,high school,6.4,67.1,yes,>60 min,yes,60.4,71.2,61.3,70.1
3429,18,male,private,diploma,5.1,71.3,yes,<15 min,yes,60.5,48.5,58.0,59.5
3430,15,male,public,graduate,1.4,57.3,yes,<15 min,no,45.1,33.6,41.1,38.8
3431,15,other,private,diploma,1.0,74.6,yes,<15 min,yes,34.9,45.3,55.7,29.4
3432,18,other,public,no formal,2.7,97.2,yes,30-60 min,yes,55.5,48.8,50.8,57.9
3433,15,other,private,post graduate,5.4,61.6,yes,<15 min,yes,48.1,68.2,66.0,64.8
3434,16,other,private,diploma,3.2,84.2,no,>60 min,no,46.7,47.1,41.8,49.4
3435,15,other,private,diploma,2.5,51.9,yes,30-60 min,yes,34.8,61.6,56.7,50.5
3436,17,other,public,graduate,4.9,82.2,yes,30-60 min,no,73.7,59.9,65.2,74.5
3437,15,male,public,phd,7.6,96.9,yes,15-30 min,no,97.5,88.5,98.2,94.5
3438,17,other,private,no formal,1.4,64.1,yes,<15 min,no,29.2,19.5,25.4,34.4
3439,19,other,public,phd,5.3,90.8,no,15-30 min,no,77.5,76.3,83.3,82.0
3440,18,male,public,graduate,7.3,54.1,no,30-60 min,yes,74.4,93.9,77.0,85.8
3441,19,male,public,graduate,4.6,67.9,yes,<15 min,yes,88.7,44.7,64.4,62.0
3442,14,other,public,no formal,7.7,50.3,yes,>60 min,no,88.5,73.4,72.0,82.9
3443,16,other,public,post graduate,5.0,67.8,yes,15-30 min,yes,51.7,55.9,85.3,63.9
3444,15,male,private,post graduate,5.5,65.5,yes,<15 min,no,49.8,57.5,60.4,60.6
3445,19,male,private,graduate,6.4,84.6,yes,15-30 min,no,84.5,75.0,59.1,79.9
3446,18,female,public,post graduate,2.0,64.7,yes,>60 min,yes,22.8,43.6,57.3,42.3
3447,15,male,public,phd,4.7,91.2,yes,15-30 min,yes,61.8,77.4,63.1,69.9
3448,17,other,public,phd,5.1,64.6,yes,15-30 min,no,67.3,40.6,74.3,58.7
3449,17,female,private,high school,1.4,61.2,yes,30-60 min,no,53.3,47.6,37.2,43.6
3450,16,male,private,post graduate,3.9,74.7,yes,>60 min,no,68.2,62.9,50.2,65.3
3451,16,other,private,no formal,6.3,82.8,yes,<15 min,yes,90.7,93.8,86.7,90.9
3452,14,other,public,graduate,0.8,94.4,yes,15-30 min,yes,57.8,38.1,43.5,41.9
3453,16,other,private,no formal,3.6,90.7,yes,>60 min,yes,58.4,80.7,54.1,69.5
3454,16,other,private,high school,1.6,76.2,yes,<15 min,no,39.1,43.3,46.8,46.0
3455,18,male,private,post graduate,1.8,98.9,yes,<15 min,yes,67.7,65.0,51.2,50.9
3456,19,other,public,diploma,4.3,64.8,yes,30-60 min,yes,56.1,72.5,45.4,57.1
3457,18,other,public,phd,0.7,100.0,no,15-30 min,yes,52.5,44.9,31.9,47.3
3458,14,other,private,no formal,3.7,69.3,yes,30-60 min,no,48.7,52.1,47.5,47.6
3459,19,male,private,phd,0.7,63.1,yes,15-30 min,yes,50.7,24.9,34.7,22.7
3460,16,female,private,post graduate,7.4,69.1,yes,>60 min,no,84.6,92.3,86.4,89.8
3461,16,other,private,diploma,7.1,79.3,yes,15-30 min,yes,100.0,73.5,99.9,94.0
3462,19,male,public,no formal,2.1,73.7,yes,15-30 min,yes,20.0,8.2,35.7,37.6
3463,19,female,private,no formal,1.0,52.5,yes,15-30 min,yes,31.2,29.7,30.3,28.3
3464,14,other,private,diploma,2.4,67.8,yes,<15 min,yes,62.6,61.3,64.3,51.0
3465,16,other,public,graduate,0.7,74.6,yes,<15 min,no,42.5,37.6,33.6,33.5
3466,18,female,private,graduate,6.0,83.2,yes,<15 min,no,79.1,79.6,77.7,73.7
3467,17,other,public,high school,4.8,97.7,yes,>60 min,no,88.5,83.3,62.9,80.4
3468,15,other,public,graduate,4.6,97.8,no,15-30 min,yes,78.1,85.4,74.6,84.6
3469,17,other,public,graduate,6.9,75.7,yes,>60 min,yes,100.0,100.0,79.4,93.5
3470,19,male,public,diploma,6.6,78.5,no,<15 min,yes,100.0,87.2,95.3,91.6
3471,15,male,private,high school,3.6,84.9,no,>60 min,yes,65.7,80.9,64.3,72.0
3472,18,male,private,diploma,5.1,91.8,yes,30-60 min,no,100.0,81.4,90.4,83.7
3473,18,female,private,post graduate,3.8,87.3,yes,15-30 min,yes,61.9,60.2,51.1,60.5
3474,19,female,private,graduate,5.2,86.0,yes,30-60 min,no,87.2,96.3,76.2,82.9
3475,15,male,public,no formal,1.6,72.4,yes,>60 min,yes,22.9,49.2,55.5,47.4
3476,15,other,private,phd,2.8,93.4,yes,<15 min,no,52.1,68.9,64.6,64.1
3477,17,male,private,high school,2.4,83.1,yes,15-30 min,no,59.4,69.1,55.9,59.7
3478,17,other,private,post graduate,1.8,58.0,yes,>60 min,yes,39.5,3.2,29.3,27.7
3479,16,female,private,no formal,3.6,79.9,yes,<15 min,yes,55.8,65.1,67.8,61.1
3480,18,other,private,high school,5.9,65.5,yes,30-60 min,yes,71.9,80.4,68.5,79.2
3481,18,male,private,graduate,3.5,60.2,yes,30-60 min,no,43.4,33.6,41.4,48.3
3482,15,male,private,phd,7.9,82.4,yes,30-60 min,yes,100.0,85.9,96.5,89.7
3483,18,other,private,graduate,2.8,82.1,yes,15-30 min,no,58.4,51.4,36.1,48.0
3484,15,female,private,no formal,7.6,97.7,yes,30-60 min,no,97.7,90.2,100.0,100.0
3485,16,female,public,phd,2.0,98.8,yes,>60 min,no,56.0,58.4,55.1,55.8
3486,14,male,private,high school,2.9,70.4,yes,30-60 min,no,27.2,41.1,49.6,48.9
3487,16,other,private,diploma,1.7,58.9,yes,>60 min,yes,35.3,37.9,53.4,45.3
3488,19,male,private,no formal,2.3,57.0,yes,<15 min,yes,36.0,39.9,46.7,45.9
3489,16,other,private,post graduate,1.7,98.7,yes,<15 min,no,51.4,61.6,38.8,53.8
3490,18,female,public,diploma,5.2,69.8,no,30-60 min,no,87.7,89.0,73.0,75.1
3491,14,male,private,high school,2.0,67.1,yes,>60 min,yes,37.5,46.4,42.8,40.6
3492,17,female,private,graduate,1.1,81.1,yes,15-30 min,no,29.3,35.6,49.0,40.8
3493,16,female,private,high school,2.5,52.9,yes,30-60 min,yes,44.7,53.7,36.4,48.6
3494,18,female,public,graduate,5.6,82.3,yes,>60 min,yes,81.4,92.1,75.2,84.4
3495,19,other,public,graduate,3.7,93.8,yes,30-60 min,no,68.4,69.2,56.6,70.2
3496,17,female,private,post graduate,1.7,86.2,no,30-60 min,yes,45.8,37.3,45.2,46.7
3497,14,female,private,post graduate,1.0,70.9,yes,<15 min,no,46.5,59.3,39.1,41.6
3498,16,female,private,graduate,6.0,55.8,yes,30-60 min,yes,65.1,72.2,66.3,75.2
3499,14,male,public,no formal,5.8,62.1,no,<15 min,no,83.5,68.4,70.6,69.0
3500,16,other,private,high school,4.0,63.3,yes,30-60 min,no,45.6,48.2,33.3,54.1
3501,14,male,private,graduate,4.5,69.2,yes,>60 min,no,74.1,87.3,66.5,70.1
3502,17,male,public,graduate,2.3,56.7,yes,15-30 min,yes,37.5,61.2,55.2,48.0
3503,15,male,private,graduate,4.1,78.8,no,>60 min,no,47.2,61.0,63.7,57.3
3504,15,female,private,post graduate,6.0,68.3,yes,30-60 min,yes,92.8,91.7,95.1,81.5
3505,14,female,public,phd,6.3,74.8,yes,30-60 min,no,87.8,78.6,89.7,79.9
3506,19,other,public,graduate,3.1,64.3,yes,>60 min,no,61.5,59.7,51.4,49.3
3507,19,other,private,no formal,5.6,72.7,yes,30-60 min,yes,81.1,70.5,57.7,70.5
3508,18,other,private,diploma,4.1,85.6,yes,15-30 min,no,44.9,66.9,59.5,64.4
3509,14,male,public,high school,6.0,54.4,yes,<15 min,no,81.2,69.3,71.0,75.7
3510,16,other,private,graduate,5.7,75.5,no,15-30 min,no,80.4,59.4,91.3,78.7
3511,19,male,public,graduate,6.1,80.9,yes,30-60 min,yes,68.4,72.0,88.8,79.0
3512,17,male,public,graduate,1.7,83.4,no,>60 min,yes,43.1,50.6,40.3,50.4
3513,14,female,private,graduate,2.9,96.1,yes,>60 min,no,50.6,54.0,84.2,61.1
3514,14,female,public,high school,2.5,89.1,yes,>60 min,no,60.1,80.0,53.5,55.2
3515,15,male,public,high school,3.9,86.9,yes,30-60 min,no,85.2,84.0,68.8,74.9
3516,19,other,private,phd,4.0,93.4,yes,<15 min,no,69.8,73.1,63.9,69.6
3517,15,male,private,diploma,5.5,95.7,yes,30-60 min,no,68.2,87.7,72.3,86.7
3518,19,female,public,high school,4.8,92.0,yes,15-30 min,yes,76.1,81.0,70.4,78.1
3519,18,female,private,phd,4.8,80.7,yes,15-30 min,yes,57.9,85.3,92.0,73.9
3520,19,female,private,no formal,5.2,92.2,yes,>60 min,no,100.0,81.0,91.4,80.8
3521,18,female,private,diploma,2.5,66.3,yes,<15 min,yes,52.8,36.5,44.4,42.4
3522,15,other,private,post graduate,2.2,97.6,yes,>60 min,yes,74.5,61.0,77.6,65.4
3523,18,female,public,diploma,2.1,58.7,yes,<15 min,yes,20.4,23.8,32.0,35.5
3524,15,male,private,phd,6.3,61.5,yes,<15 min,no,88.5,70.0,83.7,78.7
3525,15,other,public,diploma,1.2,57.9,yes,15-30 min,no,36.3,42.1,40.4,33.9
3526,15,other,public,graduate,2.9,88.9,yes,15-30 min,no,56.0,65.7,74.5,58.1
3527,14,male,private,diploma,2.6,71.7,yes,15-30 min,yes,48.3,52.2,51.9,43.9
3528,14,other,public,diploma,4.9,86.9,no,<15 min,no,55.7,66.9,64.1,78.3
3529,15,female,private,diploma,7.4,75.5,yes,15-30 min,yes,82.3,91.2,94.3,80.8
3530,14,male,private,phd,7.1,70.2,yes,30-60 min,no,88.8,88.2,90.1,92.1
3531,16,male,public,post graduate,1.3,94.8,yes,30-60 min,no,47.4,50.2,47.7,54.0
3532,14,other,private,diploma,4.6,71.6,yes,<15 min,yes,61.3,61.1,44.1,70.5
3533,14,male,public,diploma,0.8,80.9,yes,30-60 min,no,24.7,15.7,12.6,29.5
3534,19,female,public,diploma,6.4,92.9,yes,15-30 min,no,94.4,88.0,100.0,97.9
3535,14,other,private,post graduate,3.3,60.6,yes,30-60 min,no,47.3,33.8,36.4,42.7
3536,14,other,private,graduate,2.1,70.1,yes,<15 min,no,38.4,37.1,31.4,41.9
3537,14,female,private,graduate,4.1,57.2,no,<15 min,no,26.1,64.2,57.9,55.3
3538,14,other,public,diploma,3.8,77.1,yes,>60 min,yes,63.7,78.0,69.5,69.5
3539,17,male,private,diploma,7.6,89.5,yes,<15 min,yes,98.8,100.0,96.6,100.0
3540,18,other,public,graduate,0.7,52.8,yes,<15 min,yes,21.8,17.6,2.2,22.6
3541,18,male,private,post graduate,7.6,53.0,yes,15-30 min,no,100.0,81.0,80.3,86.3
3542,17,male,private,phd,2.3,87.1,yes,30-60 min,yes,37.8,57.5,34.3,47.2
3543,14,other,private,no formal,1.6,85.5,yes,15-30 min,yes,32.3,31.7,50.5,46.9
3544,18,other,private,high school,6.1,70.1,yes,<15 min,yes,78.7,49.1,63.2,69.8
3545,14,other,public,post graduate,4.4,68.0,no,30-60 min,yes,56.3,42.3,46.7,54.9
3546,17,other,private,no formal,7.2,64.1,yes,<15 min,no,100.0,94.7,100.0,91.8
3547,16,male,private,graduate,4.6,53.1,no,30-60 min,yes,38.6,60.9,53.4,61.5
3548,19,female,public,diploma,4.3,75.7,yes,<15 min,no,50.1,44.1,61.5,56.7
3549,15,other,public,high school,2.0,80.8,yes,15-30 min,yes,51.5,47.7,27.2,46.2
3550,17,female,public,graduate,7.6,93.3,yes,<15 min,no,93.4,100.0,100.0,100.0
3551,16,male,public,graduate,5.5,77.1,yes,15-30 min,yes,83.5,95.7,75.3,70.0
3552,17,male,private,post graduate,5.0,57.6,yes,30-60 min,no,58.9,83.0,61.1,69.7
3553,19,other,public,post graduate,6.4,65.4,yes,<15 min,yes,87.3,71.4,67.2,68.6
3554,18,other,private,phd,1.3,89.3,yes,30-60 min,yes,37.4,50.7,41.2,41.6
3555,16,male,private,diploma,7.0,80.9,yes,15-30 min,yes,94.3,100.0,95.2,90.3
3556,16,male,public,post graduate,4.3,88.6,yes,15-30 min,yes,59.0,59.6,74.3,68.2
3557,18,female,private,post graduate,6.5,70.7,yes,15-30 min,yes,81.8,71.6,90.1,85.6
3558,16,male,private,phd,5.8,53.4,yes,>60 min,no,91.5,85.6,75.3,74.1
3559,15,other,private,graduate,3.9,94.6,yes,30-60 min,yes,53.4,58.5,52.7,60.3
3560,16,other,public,high school,6.3,67.5,yes,15-30 min,no,73.7,63.6,60.0,74.2
3561,14,female,public,diploma,5.9,54.2,yes,<15 min,no,90.3,75.7,97.3,76.8
3562,15,other,private,high school,0.5,79.3,yes,>60 min,yes,29.9,29.9,42.2,38.5
3563,16,male,public,high school,5.8,87.2,yes,30-60 min,yes,86.4,67.0,66.7,77.9
3564,18,other,private,high school,4.3,73.9,yes,30-60 min,yes,62.6,72.4,82.9,65.7
3565,18,female,private,diploma,6.8,80.7,yes,>60 min,yes,64.6,74.7,67.6,80.6
3566,15,female,public,post graduate,6.6,70.9,yes,<15 min,no,99.6,75.5,90.0,90.5
3567,16,male,public,high school,1.8,90.7,no,>60 min,no,81.4,57.0,53.1,56.5
3568,14,male,public,high school,0.7,89.2,no,<15 min,no,50.3,34.2,45.5,38.0
3569,18,male,private,no formal,2.0,86.0,yes,30-60 min,no,51.7,52.4,46.7,48.3
3570,15,female,private,high school,6.1,51.0,yes,<15 min,yes,68.9,72.3,70.5,74.6
3571,18,male,public,diploma,7.0,75.8,yes,<15 min,no,91.4,83.0,97.2,88.6
3572,19,male,private,diploma,5.8,89.3,yes,30-60 min,yes,91.6,95.6,73.0,83.0
3573,18,female,public,diploma,6.7,62.2,yes,30-60 min,no,60.0,61.2,65.1,72.5
3574,15,other,public,high school,4.9,63.0,yes,30-60 min,yes,42.2,76.8,61.1,65.7
3575,19,male,public,diploma,4.3,95.2,yes,<15 min,yes,65.3,81.8,79.3,81.3
3576,18,female,public,graduate,7.8,92.1,no,<15 min,yes,89.0,100.0,74.8,96.5
3577,17,other,private,no formal,1.1,99.4,yes,15-30 min,yes,49.4,53.3,55.6,53.0
3578,19,female,private,phd,3.7,74.9,yes,>60 min,yes,45.2,53.3,45.2,50.0
3579,19,male,public,high school,2.6,56.2,yes,>60 min,yes,48.2,52.8,70.6,49.1
3580,14,male,public,no formal,1.4,50.4,yes,>60 min,no,25.3,49.7,18.3,35.5
3581,19,other,public,high school,5.0,85.3,yes,30-60 min,yes,67.4,69.3,58.9,65.8
3582,18,female,private,graduate,2.5,90.8,yes,<15 min,no,61.6,52.7,48.8,65.2
3583,15,male,private,graduate,4.0,71.4,yes,>60 min,yes,64.5,72.6,72.4,70.3
3584,15,other,private,no formal,1.5,71.3,yes,15-30 min,no,43.8,55.0,53.0,44.1
3585,18,other,public,diploma,3.4,92.0,yes,15-30 min,yes,61.8,79.9,81.2,68.1
3586,15,other,public,high school,2.0,59.3,no,>60 min,yes,53.8,36.0,50.3,39.7
3587,16,male,private,phd,7.2,53.2,yes,15-30 min,no,64.0,63.3,63.2,69.0
3588,18,male,private,high school,4.4,98.3,no,>60 min,yes,73.8,63.7,76.1,75.1
3589,17,male,private,phd,6.5,77.1,yes,>60 min,no,100.0,99.5,81.0,90.8
3590,19,male,private,graduate,4.1,88.6,yes,15-30 min,no,63.5,78.6,84.1,70.7
3591,14,female,private,phd,0.8,97.7,yes,15-30 min,yes,64.2,69.8,53.2,54.8
3592,15,female,private,graduate,5.7,90.5,yes,>60 min,yes,85.5,84.5,100.0,90.6
3593,19,other,private,no formal,0.9,73.4,yes,>60 min,no,53.0,34.2,30.8,32.0
3594,17,male,private,graduate,3.5,82.4,yes,>60 min,no,60.5,63.9,70.0,65.4
3595,15,other,public,diploma,4.6,81.6,yes,15-30 min,no,61.8,68.1,67.6,73.4
3596,15,other,public,post graduate,6.3,96.3,yes,>60 min,yes,100.0,98.5,100.0,98.9
3597,16,male,public,diploma,7.2,57.1,yes,15-30 min,no,99.6,65.9,85.1,77.3
3598,17,female,public,high school,2.0,84.8,yes,30-60 min,yes,47.4,49.2,38.8,41.8
3599,15,female,public,no formal,5.5,93.1,yes,30-60 min,yes,69.7,82.8,66.7,72.9
3600,17,male,public,post graduate,4.0,68.0,yes,15-30 min,yes,45.6,66.3,57.5,59.4
3601,16,male,private,high school,6.3,85.4,no,15-30 min,yes,93.3,90.7,85.8,90.6
3602,17,other,public,post graduate,7.5,62.5,yes,30-60 min,no,100.0,94.8,90.1,86.0
